Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass,Survived
Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40,1,0,9.475,3rd,no
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27,1,0,21,2nd,no
Miss. Simonne Marie Anne Andree Laroche,female,3,1,2,41.5792,2nd,yes
Miss. Margaret Delia Devaney,female,19,0,0,7.8792,3rd,yes
Mr. William John Rogers,male,30,0,0,8.05,3rd,no
Mr. Denis Lennon,male,20,1,0,15.5,3rd,no
Miss. Bridget O'Driscoll,female,27,0,0,7.75,3rd,yes
Mr. Youssef Samaan,male,16,2,0,21.6792,3rd,no
Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18,1,0,17.8,3rd,no
Master. Juha Niilo Panula,male,7,4,1,39.6875,3rd,no
Mr. Richard Cater Nosworthy,male,21,0,0,7.8,3rd,no
Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49,1,0,76.7292,1st,yes
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29,1,0,26,2nd,yes
Mr. Engelhart Cornelius Ostby,male,65,0,1,61.9792,1st,no
Mr. Hugh Woolner,male,46,0,0,35.5,1st,yes
Miss. Emily Rugg,female,21,0,0,10.5,2nd,yes
Mr. Mansouer Novel,male,28.5,0,0,7.2292,3rd,no
Miss. Constance Mirium West,female,5,1,2,27.75,2nd,yes
Master. William Frederick Goodwin,male,11,5,2,46.9,3rd,no
Mr. Orsen Sirayanian,male,22,0,0,7.2292,3rd,no
Miss. Amelie Icard,female,38,0,0,80,1st,yes
Mr. Henry Birkhardt Harris,male,45,1,0,83.475,1st,no
Master. Harald Skoog,male,4,3,2,27.9,3rd,no
Mr. Albert A Stewart,male,64,0,0,27.7208,1st,no
Master. Gerios Moubarek,male,7,1,1,15.2458,3rd,yes
Mrs. (Elizabeth Ramell) Nye,female,29,0,0,10.5,2nd,yes
Mr. Ernest James Crease,male,19,0,0,8.1583,3rd,no
Miss. Erna Alexandra Andersson,female,17,4,2,7.925,3rd,yes
Mr. Vincenz Kink,male,26,2,0,8.6625,3rd,no
Mr. Stephen Curnow Jenkin,male,32,0,0,10.5,2nd,no
Miss. Lillian Amy Goodwin,female,16,5,2,46.9,3rd,no
Mr. Ambrose Jr Hood,male,21,0,0,73.5,2nd,no
Mr. Apostolos Chronopoulos,male,26,1,0,14.4542,3rd,no
Mr. Lee Bing,male,32,0,0,56.4958,3rd,yes
Mr. Sigurd Hansen Moen,male,25,0,0,7.65,3rd,no
Mr. Ivan Staneff,male,23,0,0,7.8958,3rd,no
Mr. Rahamin Haim Moutal,male,28,0,0,8.05,3rd,no
Master. Alden Gates Caldwell,male,0.83,0,2,29,2nd,yes
Miss. Elizabeth Dowdell,female,30,0,0,12.475,3rd,yes
Mr. Achille Waelens,male,22,0,0,9,3rd,no
Mr. Jan Baptist Sheerlinck,male,29,0,0,9.5,3rd,yes
Miss. Brigdet Delia McDermott,female,31,0,0,7.7875,3rd,yes
Mr. Francisco M Carrau,male,28,0,0,47.1,1st,no
Miss. Bertha Ilett,female,17,0,0,10.5,2nd,yes
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33,3,0,15.85,3rd,yes
Mr. William Neal Ford,male,16,1,3,34.375,3rd,no
Mr. Selman Francis Slocovski,male,20,0,0,8.05,3rd,no
Miss. Mabel Helen Fortune,female,23,3,2,263,1st,yes
Mr. Francesco Celotti,male,24,0,0,8.05,3rd,no
Mr. Emil Christmann,male,29,0,0,8.05,3rd,no
Mr. Paul Edvin Andreasson,male,20,0,0,7.8542,3rd,no
Mr. Herbert Fuller Chaffee,male,46,1,0,61.175,1st,no
Mr. Bertram Frank Dean,male,26,1,2,20.575,3rd,no
Mr. Daniel Coxon,male,59,0,0,7.25,3rd,no
Mr. Charles Joseph Shorney,male,22,0,0,8.05,3rd,no
Mr. George B Goldschmidt,male,71,0,0,34.6542,1st,no
Mr. William Bertram Greenfield,male,23,0,1,63.3583,1st,yes
Mrs. John T (Ada Julia Bone) Doling,female,34,0,1,23,2nd,yes
Mr. Sinai Kantor,male,34,1,0,26,2nd,no
Miss. Matilda Petranec,female,28,0,0,7.8958,3rd,no
Mr. Pastcho Petroff,male,29,0,0,7.8958,3rd,no
Mr. Richard Frasar White,male,21,0,1,77.2875,1st,no
Mr. Gustaf Joel Johansson,male,33,0,0,8.6542,3rd,no
Mr. Anders Vilhelm Gustafsson,male,37,2,0,7.925,3rd,no
Mr. Stoytcho Mionoff,male,28,0,0,7.8958,3rd,no
Miss. Anna Kristine Salkjelsvik,female,21,0,0,7.65,3rd,yes
Mr. Albert Johan Moss,male,29,0,0,7.775,3rd,yes
Mr. Tido Rekic,male,38,0,0,7.8958,3rd,no
Miss. Bertha Moran,female,28,1,0,24.15,3rd,yes
Mr. Walter Chamberlain Porter,male,47,0,0,52,1st,no
Miss. Hileni Zabour,female,14.5,1,0,14.4542,3rd,no
Mr. David John Barton,male,22,0,0,8.05,3rd,no
Miss. Katriina Jussila,female,20,1,0,9.825,3rd,no
Miss. Malake Attalah,female,17,0,0,14.4583,3rd,no
Mr. Edvard Pekoniemi,male,21,0,0,7.925,3rd,no
Mr. Patrick Connors,male,70.5,0,0,7.75,3rd,no
Mr. William John Robert Turpin,male,29,1,0,21,2nd,no
Mr. Quigg Edmond Baxter,male,24,0,1,247.5208,1st,no
Miss. Ellis Anna Maria Andersson,female,2,4,2,31.275,3rd,no
Mr. Stanley George Hickman,male,21,2,0,73.5,2nd,no
Mr. Leonard Charles Moore,male,19,0,0,8.05,3rd,no
Mr. Nicholas Nasser,male,32.5,1,0,30.0708,2nd,no
Miss. Susan Webber,female,32.5,0,0,13,2nd,yes
Mr. Percival Wayland White,male,54,0,1,77.2875,1st,no
Master. Elias Nicola-Yarred,male,12,1,0,11.2417,3rd,yes
Mr. Martin McMahon,male,19,0,0,7.75,3rd,no
Mr. Fridtjof Arne Madsen,male,24,0,0,7.1417,3rd,yes
Miss. Anna Peter,female,2,1,1,22.3583,3rd,yes
Mr. Johan Ekstrom,male,45,0,0,6.975,3rd,no
Mr. Jozef Drazenoic,male,33,0,0,7.8958,3rd,no
Mr. Domingos Fernandeo Coelho,male,20,0,0,7.05,3rd,no
Mrs. Alexander A (Grace Charity Laury) Robins,female,47,1,0,14.5,3rd,no
Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29,1,0,26,2nd,yes
Mr. Samuel James Hayden Sobey,male,25,0,0,13,2nd,no
Mr. Emile Richard,male,23,0,0,15.0458,2nd,no
Miss. Helen Monypeny Newsom,female,19,0,2,26.2833,1st,yes
Mr. Jacques Heath Futrelle,male,37,1,0,53.1,1st,no
Mr. Olaf Elon Osen,male,16,0,0,9.2167,3rd,no
Mr. Victor Giglio,male,24,0,0,79.2,1st,no
Mrs. Joseph (Sultana) Boulos,female,40,0,2,15.2458,3rd,no
Miss. Anna Sofia Nysten,female,22,0,0,7.75,3rd,yes
Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24,1,0,15.85,3rd,yes
Mr. Jeremiah Burke,male,19,0,0,6.75,3rd,no
Mr. Edgardo Samuel Andrew,male,18,0,0,11.5,2nd,no
Mr. Joseph Charles Nicholls,male,19,1,1,36.75,2nd,no
Mr. August Edvard Andersson,male,27,0,0,7.7958,3rd,yes
Miss. Robina Maggie Ford,female,9,2,2,34.375,3rd,no
Mr. Michel Navratil,male,36.5,0,2,26,2nd,no
Rev. Thomas Roussel Davids Byles,male,42,0,0,13,2nd,no
Rev. Robert James Bateman,male,51,0,0,12.525,2nd,no
Mrs. Thomas (Edith Wearne) Pears,female,22,1,0,66.6,1st,yes
Mr. Alfonzo Meo,male,55.5,0,0,8.05,3rd,no
Mr. Austin Blyler van Billiard,male,40.5,0,2,14.5,3rd,no
Mr. Ole Martin Olsen,male,27,0,0,7.3125,3rd,no
Mr. Charles Duane Williams,male,51,0,1,61.3792,1st,no
Miss. Katherine Gilnagh,female,16,0,0,7.7333,3rd,yes
Mr. Harry Corn,male,30,0,0,8.05,3rd,no
Mr. Mile Smiljanic,male,37,0,0,8.6625,3rd,no
Master. Thomas Henry Sage,male,5,8,2,69.55,3rd,no
Mr. John Hatfield Cribb,male,44,0,1,16.1,3rd,no
Mrs. James (Elizabeth Inglis Milne) Watt,female,40,0,0,15.75,2nd,yes
Mr. John Viktor Bengtsson,male,26,0,0,7.775,3rd,no
Mr. Jovo Calic,male,17,0,0,8.6625,3rd,no
Master. Eino Viljami Panula,male,1,4,1,39.6875,3rd,no
Master. Frank John William Goldsmith,male,9,0,2,20.525,3rd,yes
Mrs. (Edith Martha Bowerman) Chibnall,female,48,0,1,55,1st,yes
Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45,1,4,27.9,3rd,no
Mr. John D Baumann,male,60,0,0,25.925,1st,no
Mr. Lee Ling,male,28,0,0,56.4958,3rd,no
Mr. Wyckoff Van der hoef,male,61,0,0,33.5,1st,no
Master. Arthur Rice,male,4,4,1,29.125,3rd,no
Miss. Eleanor Ileen Johnson,female,1,1,1,11.1333,3rd,yes
Mr. Antti Wilhelm Sivola,male,21,0,0,7.925,3rd,no
Mr. James Clinch Smith,male,56,0,0,30.6958,1st,no
Mr. Klas Albin Klasen,male,18,1,1,7.8542,3rd,no
Master. Henry Forbes Lefebre,male,5,3,1,25.4667,3rd,no
Miss. Ann Elizabeth Isham,female,50,0,0,28.7125,1st,no
Mr. Reginald Hale,male,30,0,0,13,2nd,no
Mr. Lionel Leonard,male,36,0,0,0,3rd,no
Miss. Constance Gladys Sage,female,8,8,2,69.55,3rd,no
Mr. Rene Pernot,male,39,0,0,15.05,2nd,no
Master. Clarence Gustaf Hugo Asplund,male,9,4,2,31.3875,3rd,no
Master. Richard F Becker,male,1,2,1,39,2nd,yes
Miss. Luise Gretchen Kink-Heilmann,female,4,0,2,22.025,3rd,yes
Mr. Hugh Roscoe Rood,male,39,0,0,50,1st,no
Mrs. Thomas (Johanna Godfrey) O'Brien,female,26,1,0,15.5,3rd,yes
Mr. Charles Hallace Romaine,male,45,0,0,26.55,1st,yes
Mr. John Bourke,male,40,1,1,15.5,3rd,no
Mr. Stjepan Turcin,male,36,0,0,7.8958,3rd,no
Mrs. (Rosa) Pinsky,female,32,0,0,13,2nd,yes
Mr. William Carbines,male,19,0,0,13,2nd,no
Miss. Carla Christine Nielsine Andersen-Jensen,female,19,1,0,7.8542,3rd,yes
Master. Michel M Navratil,male,3,1,1,26,2nd,yes
Mrs. James Joseph (Margaret Tobin) Brown,female,44,0,0,27.7208,1st,yes
Miss. Elise Lurette,female,58,0,0,146.5208,1st,yes
Mr. Robert Mernagh,male,28,0,0,7.75,3rd,no
Mr. Karl Siegwart Andreas Olsen,male,42,0,1,8.4042,3rd,no
Miss. Margaret Madigan,female,21,0,0,7.75,3rd,yes
Miss. Henriette Yrois,female,24,0,0,13,2nd,no
Mr. Nestor Cyriel Vande Walle,male,28,0,0,9.5,3rd,no
Mr. Frederick Sage,male,17,8,2,69.55,3rd,no
Mr. Jakob Alfred Johanson,male,34,0,0,6.4958,3rd,no
Mr. Gerious Youseff,male,45.5,0,0,7.225,3rd,no
Mr. Gurshon Cohen,male,18,0,0,8.05,3rd,yes
Miss. Telma Matilda Strom,female,2,0,1,10.4625,3rd,no
Mr. Karl Alfred Backstrom,male,32,1,0,15.85,3rd,no
Mr. Nassef Cassem Albimona,male,26,0,0,18.7875,3rd,yes
Miss. Helen Carr,female,16,0,0,7.75,3rd,yes
Mr. Henry Blank,male,40,0,0,31,1st,yes
Mr. Ahmed Ali,male,24,0,0,7.05,3rd,no
Miss. Clear Annie Cameron,female,35,0,0,21,2nd,yes
Mr. John Henry Perkin,male,22,0,0,7.25,3rd,no
Mr. Hans Kristensen Givard,male,30,0,0,13,2nd,no
Mr. Philip Kiernan,male,22,1,0,7.75,3rd,no
Miss. Madeleine Newell,female,31,1,0,113.275,1st,yes
Miss. Eliina Honkanen,female,27,0,0,7.925,3rd,yes
Mr. Sidney Samuel Jacobsohn,male,42,1,0,27,2nd,no
Miss. Albina Bazzani,female,32,0,0,76.2917,1st,yes
Mr. Walter Harris,male,30,0,0,10.5,2nd,no
Mr. Victor Francis Sunderland,male,16,0,0,8.05,3rd,yes
Mr. James H Bracken,male,27,0,0,13,2nd,no
Mr. George Henry Green,male,51,0,0,8.05,3rd,no
Mr. Christo Nenkoff,male,22,0,0,7.8958,3rd,no
Mr. Frederick Maxfield Hoyt,male,38,1,0,90,1st,yes
Mr. Karl Ivar Sven Berglund,male,22,0,0,9.35,3rd,no
Mr. William John Mellors,male,19,0,0,10.5,2nd,yes
Mr. John Hall Lovell,male,20.5,0,0,7.25,3rd,no
Mr. Arne Jonas Fahlstrom,male,18,0,0,13,2nd,no
Miss. Mathilde Lefebre,female,12,3,1,25.4667,3rd,no
Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35,1,0,83.475,1st,yes
Mr. Bengt Edvin Larsson,male,29,0,0,7.775,3rd,no
Mr. Ernst Adolf Sjostedt,male,59,0,0,13.5,2nd,no
Miss. Lillian Gertrud Asplund,female,5,4,2,31.3875,3rd,yes
Mr. Robert William Norman Leyson,male,24,0,0,10.5,2nd,no
Miss. Alice Phoebe Harknett,female,21,0,0,7.55,3rd,no
Mr. Stephen Hold,male,44,1,0,26,2nd,no
Miss. Marjorie Collyer,female,8,0,2,26.25,2nd,yes
Mr. Frederick William Pengelly,male,19,0,0,10.5,2nd,no
Mr. George Henry Hunt,male,33,0,0,12.275,2nd,no
Miss. Thamine Zabour,female,19,1,0,14.4542,3rd,no
Miss. Katherine Murphy,female,18,1,0,15.5,3rd,yes
Mr. Reginald Charles Coleridge,male,29,0,0,10.5,2nd,no
Mr. Matti Alexanteri Maenpaa,male,22,0,0,7.125,3rd,no
Mr. Sleiman Attalah,male,30,0,0,7.225,3rd,no
Dr. William Edward Minahan,male,44,2,0,90,1st,no
Miss. Agda Thorilda Viktoria Lindahl,female,25,0,0,7.775,3rd,no
Mrs. William (Anna) Hamalainen,female,24,0,2,14.5,2nd,yes
Mr. Richard Leonard Beckwith,male,37,1,1,52.5542,1st,yes
Rev. Ernest Courtenay Carter,male,54,1,0,26,2nd,no
Mr. James George Reed,male,18,0,0,7.25,3rd,no
Mrs. Wilhelm (Elna Matilda Persson) Strom,female,29,1,1,10.4625,3rd,no
Mr. William Thomas Stead,male,62,0,0,26.55,1st,no
Mr. William Arthur Lobb,male,30,1,0,16.1,3rd,no
Mrs. Viktor (Helena Wilhelmina) Rosblom,female,41,0,2,20.2125,3rd,no
Mrs. Darwis (Hanne Youssef Razi) Touma,female,29,0,2,15.2458,3rd,yes
Mrs. Gertrude Maybelle Thorne,female,38,0,0,79.2,1st,yes
Miss. Gladys Cherry,female,30,0,0,86.5,1st,yes
Miss. Anna Ward,female,35,0,0,512.3292,1st,yes
Mrs. (Lutie Davis) Parrish,female,50,0,1,26,2nd,yes
Master. Edvin Rojj Felix Asplund,male,3,4,2,31.3875,3rd,yes
Mr. Emil Taussig,male,52,1,1,79.65,1st,no
Mr. William Harrison,male,40,0,0,0,1st,no
Miss. Delia Henry,female,21,0,0,7.75,3rd,no
Mr. David Reeves,male,36,0,0,10.5,2nd,no
Mr. Ernesti Arvid Panula,male,16,4,1,39.6875,3rd,no
Mr. Ernst Ulrik Persson,male,25,1,0,7.775,3rd,yes
Mrs. William Thompson (Edith Junkins) Graham,female,58,0,1,153.4625,1st,yes
Miss. Amelia Bissette,female,35,0,0,135.6333,1st,yes
Mr. Alexander Cairns,male,28,0,0,31,1st,no
Mr. William Henry Tornquist,male,25,0,0,0,3rd,yes
Mrs. (Elizabeth Anne Maidment) Mellinger,female,41,0,1,19.5,2nd,yes
Mr. Charles H Natsch,male,37,0,1,29.7,1st,no
Miss. Hanora Healy,female,33,0,0,7.75,3rd,yes
Miss. Kornelia Theodosia Andrews,female,63,1,0,77.9583,1st,yes
Miss. Augusta Charlotta Lindblom,female,45,0,0,7.75,3rd,no
Mr. Francis Parkes,male,21,0,0,0,2nd,no
Master. Eric Rice,male,7,4,1,29.125,3rd,no
Mrs. Stanton (Rosa Hunt) Abbott,female,35,1,1,20.25,3rd,yes
Mr. Frank Duane,male,65,0,0,7.75,3rd,no
Mr. Nils Johan Goransson Olsson,male,28,0,0,7.8542,3rd,no
Mr. Alfons de Pelsmaeker,male,16,0,0,9.5,3rd,no
Mr. Edward Arthur Dorking,male,19,0,0,8.05,3rd,yes
Mr. Richard William Smith,male,57,0,0,26,1st,no
Mr. Ivan Stankovic,male,33,0,0,8.6625,3rd,no
Mr. Theodore de Mulder,male,30,0,0,9.5,3rd,yes
Mr. Penko Naidenoff,male,22,0,0,7.8958,3rd,no
Mr. Masabumi Hosono,male,42,0,0,13,2nd,yes
Miss. Kate Connolly,female,22,0,0,7.75,3rd,yes
Miss. Ellen Barber,female,26,0,0,78.85,1st,yes
Mrs. Dickinson H (Helen Walton) Bishop,female,19,1,0,91.0792,1st,yes
Mr. Rene Jacques Levy,male,36,0,0,12.875,2nd,no
Miss. Aloisia Haas,female,24,0,0,8.85,3rd,no
Mr. Ivan Mineff,male,24,0,0,7.8958,3rd,no
Mr. Ervin G Lewy,male,30,0,0,27.7208,1st,no
Mr. Mansour Hanna,male,23.5,0,0,7.2292,3rd,no
Miss. Helen Loraine Allison,female,2,1,2,151.55,1st,no
Mr. Adolphe Saalfeld,male,47,0,0,30.5,1st,yes
Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,50,0,1,247.5208,1st,yes
Miss. Anna Katherine Kelly,female,20,0,0,7.75,3rd,yes
Mr. Bernard McCoy,male,24,2,0,23.25,3rd,yes
Mr. William Cahoone Jr Johnson,male,19,0,0,0,3rd,no
Miss. Nora A Keane,female,46,0,0,12.35,2nd,yes
Mr. Howard Hugh Williams,male,28,0,0,8.05,3rd,no
Master. Hudson Trevor Allison,male,0.92,1,2,151.55,1st,yes
Miss. Margaret Fleming,female,42,0,0,110.8833,1st,yes
Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,17,1,0,108.9,1st,yes
Mr. Samuel Abelson,male,30,1,0,24,2nd,no
Miss. Laura Mabel Francatelli,female,30,0,0,56.9292,1st,yes
Miss. Margaret Bechstein Hays,female,24,0,0,83.1583,1st,yes
Miss. Emily Borie Ryerson,female,18,2,2,262.375,1st,yes
Mrs. William (Anna Sylfven) Lahtinen,female,26,1,1,26,2nd,no
Mr. Ignjac Hendekovic,male,28,0,0,7.8958,3rd,no
Mr. Benjamin Hart,male,43,1,1,26.25,2nd,no
Miss. Helmina Josefina Nilsson,female,26,0,0,7.8542,3rd,yes
Mrs. Sinai (Miriam Sternin) Kantor,female,24,1,0,26,2nd,yes
Dr. Ernest Moraweck,male,54,0,0,14,2nd,no
Miss. Mary Natalie Wick,female,31,0,2,164.8667,1st,yes
Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,female,40,1,1,134.5,1st,yes
Mr. Samuel Dennis,male,22,0,0,7.25,3rd,no
Mr. Yoto Danoff,male,27,0,0,7.8958,3rd,no
Miss. Hilda Mary Slayter,female,30,0,0,12.35,2nd,yes
Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,female,22,1,1,29,2nd,yes
Mr. George John Jr Sage,male,20,8,2,69.55,3rd,no
Miss. Marie Grice Young,female,36,0,0,135.6333,1st,yes
Mr. Johan Hansen Nysveen,male,61,0,0,6.2375,3rd,no
Mrs. (Ada E Hall) Ball,female,36,0,0,13,2nd,yes
Mrs. Frank John (Emily Alice Brown) Goldsmith,female,31,1,1,20.525,3rd,yes
Miss. Jean Gertrude Hippach,female,16,0,1,57.9792,1st,yes
Miss. Agnes McCoy,female,28,2,0,23.25,3rd,yes
Mr. Austen Partner,male,45.5,0,0,28.5,1st,no
Mr. George Edward Graham,male,38,0,1,153.4625,1st,no
Mr. Leo Edmondus Vander Planke,male,16,2,0,18,3rd,no
Mrs. Henry William (Clara Heinsheimer) Frauenthal,female,42,1,0,133.65,1st,yes
Mr. Mitto Denkoff,male,30,0,0,7.8958,3rd,no
Mr. Thomas Clinton Pears,male,29,1,0,66.6,1st,no
Miss. Elizabeth Margaret Burns,female,41,0,0,134.5,1st,yes
Mr. Karl Edwart Dahl,male,45,0,0,8.05,3rd,yes
Mr. Stephen Weart Blackwell,male,45,0,0,35.5,1st,no
Master. Edmond Roger Navratil,male,2,1,1,26,2nd,yes
Miss. Alice Elizabeth Fortune,female,24,3,2,263,1st,yes
Mr. Erik Gustaf Collander,male,28,0,0,13,2nd,no
Mr. Charles Frederick Waddington Sedgwick,male,25,0,0,13,2nd,no
Mr. Stanley Hubert Fox,male,36,0,0,13,2nd,no
Miss. Amelia Brown,female,24,0,0,13,2nd,yes
Miss. Marion Elsie Smith,female,40,0,0,13,2nd,yes
Mrs. Thomas Henry (Mary E Finck) Davison,female,34,1,0,16.1,3rd,yes
Master. William Loch Coutts,male,3,1,1,15.9,3rd,yes
Mr. Jovan Dimic,male,42,0,0,8.6625,3rd,no
Mr. Nils Martin Odahl,male,23,0,0,9.225,3rd,no
Mr. Fletcher Fellows Williams-Lambert,male,43,0,0,35,1st,no
Mr. Tannous Elias,male,15,1,1,7.2292,3rd,no
Mr. Josef Arnold-Franchi,male,25,1,0,17.8,3rd,no
Mr. Wazli Yousif,male,23,0,0,7.225,3rd,no
Mr. Leo Peter Vanden Steen,male,28,0,0,9.5,3rd,no
Miss. Elsie Edith Bowerman,female,22,0,1,55,1st,yes
Miss. Annie Clemmer Funk,female,38,0,0,13,2nd,no
Miss. Mary McGovern,female,22,0,0,7.8792,3rd,yes
Miss. Helen Mary Mockler,female,23,0,0,7.8792,3rd,yes
Mr. Wilhelm Skoog,male,40,1,4,27.9,3rd,no
Mr. Sebastiano del Carlo,male,29,1,0,27.7208,2nd,no
Mrs. (Catherine David) Barbara,female,45,0,1,14.4542,3rd,no
Mr. Adola Asim,male,35,0,0,7.05,3rd,no
Mr. Thomas O'Brien,male,27,1,0,15.5,3rd,no
Mr. Mauritz Nils Martin Adahl,male,30,0,0,7.25,3rd,no
Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,60,1,0,75.25,1st,yes
Mrs. (Mantoura Boulos) Moussa,female,35,0,0,7.2292,3rd,yes
Miss. Annie Jermyn,female,22,0,0,7.75,3rd,yes
Mme. Leontine Pauline Aubart,female,24,0,0,69.3,1st,yes
Mr. George Achilles Harder,male,25,1,0,55.4417,1st,yes
Mr. Jakob Alfred Wiklund,male,18,1,0,6.4958,3rd,no
Mr. William Thomas Beavan,male,19,0,0,8.05,3rd,no
Mr. Sante Ringhini,male,22,0,0,135.6333,1st,no
Miss. Stina Viola Palsson,female,3,3,1,21.075,3rd,no
Mrs. Edgar Joseph (Leila Saks) Meyer,female,25,1,0,82.1708,1st,yes
Miss. Aurora Adelia Landergren,female,22,0,0,7.25,3rd,yes
Mr. Harry Elkins Widener,male,27,0,2,211.5,1st,no
Mr. Tannous Betros,male,20,0,0,4.0125,3rd,no
Mr. Karl Gideon Gustafsson,male,19,0,0,7.775,3rd,no
Miss. Rosalie Bidois,female,42,0,0,227.525,1st,yes
Miss. Maria Nakid,female,1,0,2,15.7417,3rd,yes
Mr. Juho Tikkanen,male,32,0,0,7.925,3rd,no
Mrs. Alexander Oskar (Mary Aline Towner) Holverson,female,35,1,0,52,1st,yes
Mr. Vasil Plotcharsky,male,27,0,0,7.8958,3rd,no
Mr. Charles Henry Davies,male,18,0,0,73.5,2nd,no
Master. Sidney Leonard Goodwin,male,1,5,2,46.9,3rd,no
Miss. Kate Buss,female,36,0,0,13,2nd,yes
Mr. Matthew Sadlier,male,19,0,0,7.7292,3rd,no
Miss. Bertha Lehmann,female,17,0,0,12,2nd,yes
Mr. William Ernest Carter,male,36,1,2,120,1st,yes
Mr. Carl Olof Jansson,male,21,0,0,7.7958,3rd,yes
Mr. Johan Birger Gustafsson,male,28,2,0,7.925,3rd,no
Miss. Marjorie Newell,female,23,1,0,113.275,1st,yes
Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24,0,2,16.7,3rd,yes
Mr. Erik Johansson,male,22,0,0,7.7958,3rd,no
Miss. Elina Olsson,female,31,0,0,7.8542,3rd,no
Mr. Peter David McKane,male,46,0,0,26,2nd,no
Dr. Alfred Pain,male,23,0,0,10.5,2nd,no
Mrs. William H (Jessie L) Trout,female,28,0,0,12.65,2nd,yes
Mr. Juha Niskanen,male,39,0,0,7.925,3rd,yes
Mr. John Adams,male,26,0,0,8.05,3rd,no
Miss. Mari Aina Jussila,female,21,1,0,9.825,3rd,no
Mr. Pekka Pietari Hakkarainen,male,28,1,0,15.85,3rd,no
Miss. Marija Oreskovic,female,20,0,0,8.6625,3rd,no
